Trans. date,Post date,Description,Amount,Category
10/17/23,10/19/23,WALGREENS #10196 WAUWATOSA WI,$13.70,Merchandise
10/18/23,10/19/23,5-365 FOOD SERVICE TROY MI,$3.05,Restaurants
10/18/23,10/19/23,QUALITY HEATING AND SHEE BROOKFIELD WI,$79.65,Services
10/18/23,10/19/23,SOMMER'S INC. MEQUON WI649149,$114.59,Automotive
10/19/23,10/19/23,MILTOWN EATS LLC 4144349799 WI,$30.00,Supermarkets
10/19/23,10/19/23,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,$37.90,Supermarkets
10/20/23,10/20/23,GILLES FROZEN CUSTARD MILWAUKEE WI,$47.69,Restaurants
10/20/23,10/20/23,PANERA BREAD #601550 O 262-834-9999 WIAPPLE PAY ENDING IN 7049994999411,$15.91,Restaurants
10/20/23,10/20/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$61.17,Supermarkets
10/20/23,10/23/23,U-HAUL CO WEST ALLIS WI,-$72.63,Payments and Credits
10/21/23,10/21/23,BUCKATABON TAVERN WAUWATOSA WI,$91.69,Restaurants
10/21/23,10/21/23,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,$12.93,Restaurants
10/22/23,10/22/23,APPLE.COM/US 800-676-2775 CAW1344816685A1,$41.15,Merchandise
10/22/23,10/22/23,SP THE REAL GOOD LIFE 2624215751 WI,$69.63,Restaurants
10/22/23,10/22/23,SSA - MILWAUKEE ZOO MILWAUKEE WI,$18.03,Services
10/22/23,10/22/23,THE BREWERY 414-272-1195 WIAPPLE PAY ENDING IN 7049,$44.81,Merchandise
10/24/23,10/24/23,5-365 FOOD SERVICE TROY MI,$2.89,Restaurants
10/24/23,10/24/23,AAA INSURANCE GW EFT 800-222-6424 MI,$510.10,Services
10/24/23,10/24/23,FIDDLEHEADS COFFEE - MEQ MEQUON WI,$10.36,Restaurants
10/24/23,10/24/23,PAYMENT - THANK YOU,"-$5,153.75",Payments and Credits
10/24/23,10/24/23,SQ *HIGHLANDS HONEY GOSQ.COM WI0002305843018666245948,$16.00,Supermarkets
10/25/23,10/25/23,PAYPAL *HULU 402-935-7733 CA,$8.43,Services
10/25/23,10/25/23,SCHOLASTIC BOOK FAIRS R4 LAKE MARY FL,$28.00,Education
10/25/23,10/25/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$15.15,Supermarkets
10/26/23,10/26/23,5-365 FOOD SERVICE TROY MI,$3.85,Restaurants
10/26/23,10/26/23,LS BENTLEYS PET STUFF 2245674700 WI,$16.86,Merchandise
10/26/23,10/26/23,MILTOWN EATS LLC 4144349799 WI,$50.00,Supermarkets
10/26/23,10/26/23,ORDER.NOODLES.COM 2122600895 CO,$39.61,Restaurants
10/26/23,10/26/23,PAYPAL *PEACOCKTVLL E4A 402-935-7733 CA,$1.04,Services
10/26/23,10/26/23,TST* SMOKIN JACKS BBQ MILWAUKEE WI00115883014350726585AA,$24.33,Restaurants
10/27/23,10/27/23,CULVERS OF WEST ALLIS WEST ALLIS WI,$16.73,Restaurants
10/27/23,10/27/23,EVERVET WAUWATOSA WI,$57.50,Services
10/27/23,10/27/23,SCHLOSSMAN HONDA CITY GREENFIELD WI,$161.42,Automotive
10/27/23,10/27/23,SP ROTHYS 4157376849 CA,$104.45,Merchandise
10/27/23,10/27/23,SQ *HAPPY BUDDHA BOUTI MILWAUKEE WI0002305843018687437310,$71.74,Supermarkets
10/27/23,10/27/23,SQ *JOY ICE CREAM SOCI WAUWATOSA WI0002305843018687570762,$12.74,Supermarkets
10/28/23,10/28/23,METCALFE MARKET TOSA WAUWATOSA WI,$36.09,Supermarkets
10/28/23,10/28/23,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,$20.39,Supermarkets
10/28/23,10/28/23,RAY'S WINE AND SPIRITS WAUWATOSA WIAPPLE PAY ENDING IN 6300,$87.14,Merchandise
10/28/23,10/28/23,SQUARESPACE INC. 6465803456 NY,$12.00,Services
10/28/23,10/28/23,TST* CRANKY ALS WAUWATOSA WI00020123014387121872AA,$14.30,Restaurants
10/29/23,10/29/23,CAFE HOLLANDER W STATE WAUWATOSA WI,$67.00,Restaurants
10/29/23,10/29/23,SQ *MILWAUKEE FARMERS GOSQ.COM WI0002305843018704133282,$45.50,Supermarkets
10/30/23,10/30/23,RIGHT AT SCHOOL 8552872466 IL,$154.00,Education
10/30/23,10/30/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$25.25,Supermarkets
10/31/23,10/31/23,AAA ACG NE0069 EFT RCC 800-222-1134 MI,$103.00,Services
10/31/23,10/31/23,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,$387.82,Services
10/31/23,10/31/23,CHICK-FIL-A #04377 MENOMONEE FALWI,$9.82,Restaurants
10/31/23,10/31/23,PAYPAL *CHEWY INC 402-935-7733 CA,$22.28,Merchandise
11/1/23,11/1/23,5-365 FOOD SERVICE TROY MI,$4.84,Restaurants
11/1/23,11/1/23,FETHERCLEAR CONSULTING 4144267782 WI,$1.06,Services
11/1/23,11/1/23,JIMMY JOHNS - 1100 - E GERMANTOWN WI,$71.71,Restaurants
11/1/23,11/1/23,PAYPAL *CHEWY INC 402-935-7733 CA,$137.18,Merchandise
11/2/23,11/2/23,5-365 FOOD SERVICE TROY MI,$3.60,Restaurants
11/2/23,11/2/23,CULVERS BROOKFIELD 2 BROOKFIELD WI,$30.15,Restaurants
11/2/23,11/2/23,MILTOWN EATS LLC 4144349799 WI,$50.00,Supermarkets
11/3/23,11/3/23,BL - OPEN HEARTH LODGE SISTER BAY WI,$139.08,Travel/ Entertainment
11/3/23,11/3/23,TST* YO MAMA - WAUWATO WAUWATOSA WIAPPLE PAY ENDING IN 630000042815014483911157AA,$16.05,Restaurants
11/4/23,11/4/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$48.74,Supermarkets
11/4/23,11/4/23,TST* HEIRLOOM MKE 262-229-1157 WIAPPLE PAY ENDING IN 704900143608014482029835AA,$89.38,Restaurants
11/5/23,11/5/23,CHIPOTLE ONLINE 949-524-4000 CA,$36.19,Restaurants
11/5/23,11/5/23,CULVERS BROOKFIELD 2 BROOKFIELD WI,$17.41,Restaurants
11/5/23,11/5/23,LS BENTLEYS PET STUFF 2245674700 WI,$71.19,Merchandise
11/5/23,11/5/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$12.14,Supermarkets
11/5/23,11/5/23,SP NOURISH NATURAL P 4142310955 WI,$42.20,Merchandise
11/5/23,11/5/23,SP ORO DI OLIVA 4143134665 WI,$31.20,Supermarkets
11/5/23,11/5/23,SQ *BIG WHITE YETI MILWAUKEE WI0002305843018747549236,$52.80,Supermarkets
11/5/23,11/5/23,TST* VALENTINE COFFEE MILWAUKEE WI00037690014522324366AA,$26.72,Restaurants
11/6/23,11/6/23,QUALITY HEATING AND SHEE BROOKFIELD WI,$175.89,Services
11/6/23,11/6/23,SQ *MILWAUKEE FARMERS GOSQ.COM WI0002305843018750612657,$43.00,Supermarkets
11/7/23,11/7/23,5-365 FOOD SERVICE TROY MI,$2.80,Restaurants
11/7/23,11/7/23,SP THE REAL GOOD LIFE 2624215751 WI,$104.93,Restaurants
11/8/23,11/8/23,5-365 FOOD SERVICE TROY MI,$2.80,Restaurants
11/8/23,11/8/23,CHIPOTLE ONLINE 949-524-4000 CA,$33.70,Restaurants
11/8/23,11/8/23,SALON MARIE LLC HALES CORNERSWI,$34.00,Services
11/9/23,11/9/23,5-365 FOOD SERVICE TROY MI,$5.41,Restaurants
11/9/23,11/9/23,LEGACY GYM MKE 262-989-6696 WI,$95.00,Travel/ Entertainment
11/9/23,11/9/23,MILTOWN EATS LLC 4144349799 WI,$50.00,Supermarkets
11/9/23,11/9/23,SOMERSET INN AND SUITES EPHRAIM WI,$462.50,Travel/ Entertainment
11/10/23,11/10/23,5-365 FOOD SERVICE TROY MI,$6.75,Restaurants
11/10/23,11/10/23,BOSWELL BOOK COMPANY MILWAUKEE WI,$24.48,Merchandise
11/10/23,11/10/23,CHICK-FIL-A #03252 2623730609 WIAPPLE PAY ENDING IN 7049,$18.25,Restaurants
11/11/23,11/11/23,5-365 FOOD SERVICE TROY MI,$6.26,Restaurants
11/11/23,11/11/23,PARKMOBILE 770-818-9036 WIAPPLE PAY ENDING IN 7049767020190,$2.00,Services
11/11/23,11/11/23,SQ *DEVOUR GLUTEN FREE OAK CREEK WI0002305843018780184960,$22.00,Merchandise
11/11/23,11/11/23,SQ *SOAP & SENSIBILITY OAK CREEK WI0002305843018780091555,$20.03,Merchandise
11/12/23,11/12/23,REI #60 BROOKFIELD BROOKFIELD WI4544190600010240,$39.36,Merchandise
11/13/23,11/13/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$24.19,Supermarkets
11/14/23,11/14/23,5-365 FOOD SERVICE TROY MI,$2.88,Restaurants
11/14/23,11/14/23,SULLYS SANDWICHES 4145301065 WI,$15.73,Restaurants
11/15/23,11/15/23,5-365 FOOD SERVICE TROY MI,$2.71,Restaurants
11/15/23,11/15/23,5-365 FOOD SERVICE TROY MI,$3.60,Restaurants
11/15/23,11/15/23,88NINE RADIO MILWAUKEE 4148927928 WI,$15.00,Services
11/15/23,11/15/23,RIGHT AT SCHOOL 8552872466 IL,$154.00,Education
11/16/23,11/16/23,5-365 FOOD SERVICE TROY MI,$2.98,Restaurants
11/16/23,11/16/23,MILTOWN EATS LLC 4144349799 WI,$50.00,Supermarkets
11/17/23,11/19/23,5-365 FOOD SERVICE TROY MI,$2.34,Restaurants
11/17/23,11/19/23,BADGER BURGER COMPANY BR 2623630990 WI,$63.11,Restaurants
11/18/23,11/19/23,5-365 FOOD SERVICE TROY MI,$4.11,Restaurants
11/19/23,11/19/23,APPLE.COM/BILL 866-712-7753 CA,$14.76,Merchandise
11/19/23,11/19/23,LEGACY GYM MKE 262-989-6696 WI,$12.00,Travel/ Entertainment
11/19/23,11/19/23,OLD NAVY US 3995 WAUWATOSA WI01912R,$46.41,Merchandise
11/19/23,11/19/23,TST* BB'S ON NORTH WAUWATOSA WI,$14.12,Restaurants
11/19/23,11/21/23,OLD NAVY US 3995 WAUWATOSA WI01978R,-$46.41,Payments and Credits
11/20/23,11/20/23,DAVESHOTCHICKEN 2122600895 WI,$39.41,Restaurants
11/20/23,11/20/23,SP LIQUID I.V. 8553864021 CAAPPLE PAY ENDING IN 7049,$69.97,Supermarkets
11/21/23,11/21/23,5-365 FOOD SERVICE TROY MI,$3.99,Restaurants
11/21/23,11/21/23,DISNEY PLUS 8889057888 CA,$147.69,Services
11/21/23,11/21/23,PP*LOVE YOUR FACE SKINCA WAUWATOSA WI,$216.00,Services
11/21/23,11/21/23,WDW TICKETS 407-828-5630 FLWALT DISNEY PARKS AND RESORTS R1147211,$185.31,Travel/ Entertainment
11/22/23,11/22/23,5-365 FOOD SERVICE TROY MI,$8.53,Restaurants
11/22/23,11/22/23,NOODLES & CO 223 WAUWATOSA WI,$33.81,Restaurants
11/22/23,11/22/23,SPECTRUM 855-707-7328 MORC807386179,$69.99,Services
11/24/23,11/24/23,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,$378.36,Services
11/24/23,11/24/23,LS RUCKUS & GLEE 4143953201 WI,$176.40,Merchandise
11/24/23,11/24/23,OUTPOST NATURAL FOODS CO WAUWATOSA WI,$32.70,Supermarkets
11/24/23,11/24/23,OUTPOST NATURAL FOODS CO WAUWATOSA WI,$37.27,Supermarkets
11/25/23,11/25/23,PAYPAL *HULU 888-221-1161 CA,$8.43,Services
