description,merchant_clean,,
#492028TOPPIZTOSA 4142574002 WI,TOPPIZTOSA,,
#492028TOPPIZTOSA WAUWATOSA WI,TOPPIZTOSA,,
#5993 VILLA IK MAYFAIR WAUWATOSA WI,VILLA IK MAYFAIR,,
077 HARDEES SHEBOYGAN SHEBOYGAN WI,HARDEE'S,,
2LEVY AT FISERV FORUM MILWAUKEE WI,LEVY AT FISERV FORUM,,
330 W WELLS GARAGE MILWAUKEE WI,330 W WELLS GARAGE,,
365 MARKET 888 432-3299 TROY MI,365 MARKET,,
365 MARKET 888 432-3299 TROY MIAPPLE PAY ENDING IN 3896,365 MARKET,,
365 MARKET F 888 32-3299 TROY MIAPPLE PAY ENDING IN 7049,365 MARKET,,
365 MARKET FP TROY MI,365 MARKET,,
365 MARKET J 888 432-329 TROY MI,365 MARKET,,
365 MARKET K 888 432-329 TROY MI,365 MARKET,,
365 PAY 8883657382 MI,365 PAY,,
492028TOPPIZTOSA 4142574002 WI, TOPPIZTOSA,,
5-365 FOOD SERVICE TROY MI,365 FOOD SERVICE,,
88NINE RADIO MILWAUKEE 4148927928 WI,88NINE RADIO,,
8CHICAGO FIELD MUSEUM CHICAGO IL,FIELD MUSEUM,,
8WISC CTR DIST MILWAUKEE WI,WISCONSIN CENTER DISTRICT,,
AAA ACG NE0069 EFT RCC 800-222-1134 MI,AAA,,
AAA INSURANCE GW EFT 800-222-6424 MI,AAA INSURANCE,,
ACE HARDWARE CORPORATION 888-827-4223 IL,ACE HARDWARE,,
ACT*CLUB SCIKIDZ LLC 8006634991 TX,CLUB SCIKIDZ,,
ADIDAS 6579 CHICAGO CHICAGO IL,ADIDAS,,
ADVENTURE ROCK BKF 262-790-6800 WI,ADVENTURE ROCK,,
AGA SERVICE COMPANY 800-628-4908 VA,AGA SERVICE COMPANY,,
ALLYS BISTRO MENOMONEE FALWI,ALLY'S BISTRO,,
AMAZON MKTPL*3R1926ID3 AMZN.COM/BILLWA6BXQ3DPG90F,AMAZON,,
AMAZON MKTPL*4I6MH4OR3 AMZN.COM/BILLWA4KAONN0Y79F,AMAZON,,
AMAZON MKTPL*AY3Q13RK3 AMZN.COM/BILLWA2YXHR3D5CTI,AMAZON,,
AMAZON MKTPL*M62EE2JX3 AMZN.COM/BILLWA398SCGP55W0,AMAZON,,
AMAZON MKTPL*NZ0DB4CF2 AMZN.COM/BILLWA1K51H9IBS13,AMAZON,,
AMAZON MKTPL*R18W07Z03 AMZN.COM/BILLWA1CRBLOEJWGN,AMAZON,,
AMAZON MKTPL*Z58I776D3 AMZN.COM/BILLWAX3SDAWRUH6A,AMAZON,,
AMC 0858 MAYFAIR MALL WAUWATOSA WI,AMC THEATRES,,
AMERICAN EAGLE OUTFITT AE.COM/US/EN PA,AMERICAN EAGLE,,
AMERICAN EAGLE OUTFITT PITTSBURGH PA,AMERICAN EAGLE,,
AMERICAN EAGLE OUTFITT PITTSBURGH PAAPPLE PAY ENDING IN 7049,AMERICAN EAGLE,,
AMERICAN GIRL RETAIL, CHICAGO IL,AMERICAN GIRL,
AMERICAN STATISTICAL ASS 703-684-1221 VA,AMERICAN STATISTICAL ASSOCIATION,,
AMG EMH RADIOLOGY BROOKFIELD WI,AMG EMH RADIOLOGY,,
AMTRAK .COM 800-872-7245 DC,AMTRAK,,
AMTRAK F&B SPINE PHILADELPHIA PA,AMTRAK,,
AMTRAK MIDWEST CAFE Q12 WASHINGTON DCAPPLE PAY ENDING IN 3896,AMTRAK,,
AMTRAK MOBILE 202-906-3000 DCAPPLE PAY ENDING IN 7049,AMTRAK,,
AMTRAK MOBILE APP 800-872-7245 DC,AMTRAK,,
AMZN MKTP US*9L1E121N3 AMZN.COM/BILLWA3INV5NEQMRS,AMAZON,,
AMZN MKTP US*LD0W43XA3 AMZN.COM/BILLWA3RENYOGREP5,AMAZON,,
APPLE *8038CAMPUSBOOK 800-365-5388 ILAPPLE PAY ENDING IN 6966,CAMPUS BOOKSTORE,,
APPLE.COM/BILL 866-712-7753 CA,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMKQXS9FG05A0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMKQY401GYZA0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMKQZY0JHJYA0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMKQZY0JJ31A0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMKS03BQ5BMA0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMKS0BH6Y3XA0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMVGL0HF7L3A0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMVS2K66BHZA0,APPLE,,
APPLE.COM/BILL 866-712-7753 CAMVS2W1149XA0,APPLE,,
APPLE.COM/US 800-676-2775 CAAPPLE PAY ENDING IN 3896W1838252817A1,APPLE,,
APPLE.COM/US 800-676-2775 CAAPPLE PAY ENDING IN 7049711ED1C12E023C73,APPLE,,
APPLE.COM/US 800-676-2775 CAW1344816685A1,APPLE,,
APPLE.COM/US 800-692-7753 CAAPPLE PAY ENDING IN 7049,APPLE,,
APPLE.COM/US 800-692-7753 CAAPPLE PAY ENDING IN 7049W1376340029A693074267,APPLE,,
APPLE.COM/US 800-692-7753 CAAPPLE PAY ENDING IN 7049W1376340029A693074268,APPLE,,
APPLIANCE GALLERY 414-3423300 WI,APPLIANCE GALLERY,,
AR BROOKFIELD 5413165747 WI,AR WORKSHOP,,
ARTE WINE AND PAINTING S 4147362302 WI,ARTE WINE AND PAINTING,,
ASIAN BUFFET & GRILL MENOMONEE FALWI,ASIAN BUFFET & GRILL,,
AT *FIELD MUSEUM CHICAGO IL,FIELD MUSEUM,,
AT *HIST SOC W PA PITTSBURGH PA,HISTORICAL SOCIETY OF WESTERN PENNSYLVANIA,,
ATHLETA ONLINE GROVEPORT OHAPPLE PAY ENDING IN 7049,ATHLETA,,
ATHLETA.COM 800-427-7895 CA1QNH55G,ATHLETA,,
ATHLETA.COM 800-427-7895 CAT2YLRTYBMDYXUMKJTDJQV,ATHLETA,,
ATOMICPROVISIONS 2122600895 CO,ATOMIC PROVISIONS,,
AUNTIE ANNE'S PRETZELS CHICAGO IL,AUNTIE ANNE'S,,
AUNTIE ANNES CHICAGO IL,AUNTIE ANNE'S,,
AVEDA MAYFAIR WAUWATOSA WI,AVEDA,,
BADGER BURGER COMPANY BR 2623630990 WI,BADGER BURGER COMPANY,,
BAKEHOUSE 23 MKE SOUTH MILWAUKWI,BAKEHOUSE 23,,
BAKER BOOK HOUSE 8662416733 MI,BAKER BOOK HOUSE,,
BALISTRERI'S ITALIAN AME WAUWATOSA WI,BALISTRERI'S ITALIAN AMERICAN,,
BALLPARC MKE MILWAUKEE WI,BALLPARC MKE,,
BARNES & NOBLE #2944 WAUWATOSA WI,BARNES & NOBLE,,
BASECAMP BOULDER BOULDER CO,BASECAMP BOULDER,,
BAY VIEW FISH CREEK WI,BAY VIEW,,
BCS*MPP WAUWATOSA SCHOOL WAUWATOSA WI,WAUWATOSA SCHOOL,,
BEACH PEOPLE FISH CREEK FISH CREEK WI,BEACH PEOPLE,,
BEDAZZLED NAILS & SPA CHICAGO IL,BEDAZZLED NAILS & SPA,,
BID2-MILWAUKEE STREET PA MILWAUKEE WI,MILWAUKEE STREET PARKING,,
BL - OPEN HEARTH LODGE SISTER BAY WI,OPEN HEARTH LODGE,,
BOMBAS LLC 800-314-0980 NYAPPLE PAY ENDING IN 6966,BOMBAS,,
BOMBAS LLC 800-314-0980 NYAPPLE PAY ENDING IN 7049,BOMBAS,,
BOSWELL BOOK COMPANY 414-332-1181 WI,BOSWELL BOOK COMPANY,,
